import time: self [us] | cumulative | imported package
import time:      6376 |       6376 |               jaxlib.mlir.dialects._sdy_ops_gen
import time:      4368 |      35762 |             jaxlib.mlir.dialects.sdy
import time:      5584 |      82108 |           jax._src.lib.mlir.dialects
import time:      7054 |       7054 |             jax._src.op_shardings
import time:      6179 |      13233 |           jax._src.sharding
import time:      5267 |     100607 |         jax._src.named_sharding
import time:      4540 |       4540 |         jax._src.layout
import time:      4505 |       4505 |         jax._src.memory
import time:      4653 |       4653 |         jax._src.xla_metadata_lib
import time:     12548 |     567229 |       jax._src.core
import time:      7645 |     574873 |     jax.core
import time:      4496 |       4496 |       jax._src.tree
import time:      5602 |      10097 |     jax.tree
import time:      7408 |       7408 |     jax.typing
import time:      3580 |       3580 |     jax._src.environment_info
import time:      6231 |       6231 |               jax._src.state.indexing
import time:     10248 |      16478 |             jax._src.state.types
import time:      4971 |      21449 |           jax._src.state
import time:        27 |      21475 |         jax._src.state.types
import time:      5024 |      26498 |       jax._src.api_util
import time:      4448 |       4448 |         jax._src.interpreters
import time:      4054 |       4054 |           jax._src.ad_util
import time:      5591 |       5591 |           jax._src.frozen_dict
import time:      3819 |       3819 |           jax._src.hashable_array
import time:       687 |        687 |               _compression
import time:      8428 |       9114 |             gzip
import time:      6746 |       6746 |               etils
import time:      6619 |       6619 |                       unittest.util
import time:     10406 |      17024 |                     unittest.result
import time:      8289 |       8289 |                       pprint
import time:      5804 |      14092 |                     unittest.case
import time:      6586 |       6586 |                     unittest.suite
import time:      5797 |       5797 |                     unittest.loader
import time:      1212 |       1212 |                         gettext
import time:      1654 |       2866 |                       argparse
import time:      4511 |       4511 |                         unittest.signals
import time:      5287 |       9798 |                       unittest.runner
import time:      5295 |      17957 |                     unittest.main
import time:     11006 |      72460 |                   unittest
import time:       637 |        637 |                           concurrent
import time:      1200 |       1200 |                           concurrent.futures._base
import time:       565 |       2401 |                         concurrent.futures
import time:      9176 |       9176 |                           _ssl
import time:      2977 |      12152 |                         ssl
import time:      5232 |       5232 |                         asyncio.constants
import time:      5764 |       5764 |                         asyncio.coroutines
import time:      9828 |       9828 |                           asyncio.format_helpers
import time:      6419 |       6419 |                             asyncio.base_futures
import time:      5482 |       5482 |                             asyncio.exceptions
import time:      5108 |       5108 |                             asyncio.base_tasks
import time:     17833 |      34841 |                           _asyncio
import time:      6165 |      50833 |                         asyncio.events
import time:      6132 |       6132 |                         asyncio.futures
import time:      4875 |       4875 |                         asyncio.protocols
import time:      5752 |       5752 |                           asyncio.transports
import time:      6454 |       6454 |                           asyncio.log
import time:      6457 |      18662 |                         asyncio.sslproto
import time:     10576 |      10576 |                             asyncio.mixins
import time:      6059 |       6059 |                             asyncio.tasks
import time:      8159 |      24793 |                           asyncio.locks
import time:      5833 |      30626 |                         asyncio.staggered
import time:     30449 |      30449 |                         asyncio.trsock
import time:      8225 |     175345 |                       asyncio.base_events
import time:     11627 |      11627 |                       asyncio.runners
import time:      5417 |       5417 |                       asyncio.queues
import time:      5803 |       5803 |                       asyncio.streams
import time:      5545 |       5545 |                       asyncio.subprocess
import time:      6452 |       6452 |                       asyncio.taskgroups
import time:      5458 |       5458 |                       asyncio.timeouts
import time:      4811 |       4811 |                       asyncio.threads
import time:      6299 |       6299 |                         asyncio.base_subprocess
import time:      4972 |       4972 |                         asyncio.selector_events
import time:      6354 |      17625 |                       asyncio.unix_events
import time:      5516 |     243595 |                     asyncio
import time:      6808 |     250402 |                   unittest.mock
import time:      3708 |       3708 |                         _bz2
import time:       763 |       4470 |                       bz2
import time:      4008 |       4008 |                         _lzma
import time:      1402 |       5410 |                       lzma
import time:      1491 |      11370 |                     shutil
import time:      5170 |       5170 |                     etils.epath.stat_utils
import time:      4515 |       4515 |                     etils.epath.typing
import time:      4873 |      25927 |                   etils.epath.backend
import time:      5758 |       5758 |                         etils.epy.reraise_utils
import time:      4294 |      10052 |                       etils.epy._internal
import time:        97 |         97 |                         etils.epy.adhoc_utils
import time:      5346 |       5346 |                         etils.epy.py_utils
import time:      4967 |       4967 |                         etils.epy.adhoc_utils.module_utils
import time:      4454 |       4454 |                         etils.epy.adhoc_utils.utils
import time:      4685 |      19548 |                       etils.epy.adhoc_utils.binary_import
import time:      4256 |       4256 |                       etils.epy.backports
import time:      4029 |       4029 |                       etils.epy.contextlib
import time:      3808 |       3808 |                       etils.epy.env_utils
import time:      4783 |       4783 |                       etils.epy.itertools
import time:      5804 |       5804 |                       etils.epy.lazy_imports_utils
import time:      4710 |       4710 |                       etils.epy.re_utils
import time:      5182 |       5182 |                       etils.epy.text_utils
import time:      6348 |      68514 |                     etils.epy
import time:      6113 |       6113 |                       etils.epath.register
import time:      5696 |      11808 |                     etils.epath.abstract_path
import time:      5015 |      85337 |                   etils.epath.gpath
import time:      6025 |     440149 |                 etils.epath.testing
import time:     10401 |      10401 |                   typing_extensions
import time:      5643 |      16044 |                 etils.epath.flags
import time:      1122 |       1122 |                   zipfile
import time:       960 |        960 |                       tempfile
import time:      5360 |       5360 |                           importlib_resources.compat
import time:      3970 |       9329 |                         importlib_resources.compat.py38
import time:      4104 |      13432 |                       importlib_resources.abc
import time:      3781 |       3781 |                         importlib_resources.future
import time:      4144 |       4144 |                           importlib_resources._itertools
import time:      3668 |       3668 |                           importlib_resources.compat.py39
import time:      4319 |      12131 |                         importlib_resources.readers
import time:      4390 |       4390 |                         importlib_resources._adapters
import time:      4003 |      24303 |                       importlib_resources.future.adapters
import time:      4077 |      42771 |                     importlib_resources._common
import time:      5071 |      47841 |                   importlib_resources
import time:      4940 |      53903 |                 etils.epath.resource_utils
import time:      4923 |     515017 |               etils.epath
import time:      4932 |     526694 |             jax._src.path
import time:      5718 |     541525 |           jax._src.jaxpr_util
import time:      4901 |       4901 |             jax._src.sharding_specs
import time:      4517 |       4517 |             jax._src.mesh_utils
import time:      8293 |      17710 |           jax._src.sharding_impls
import time:      1757 |       1757 |                 http
import time:      1048 |       1048 |                   email
import time:      1286 |       1286 |                     calendar
import time:       888 |       2174 |                   email._parseaddr
import time:       704 |        704 |                     email.base64mime
import time:       832 |        832 |                     email.quoprimime
import time:      1047 |       1047 |                     email.errors
import time:       867 |        867 |                       quopri
import time:       698 |       1564 |                     email.encoders
import time:       807 |       4952 |                   email.charset
import time:      1471 |       9645 |                 email.utils
import time:      7998 |       7998 |                   html.entities
import time:      6557 |      14554 |                 html
import time:      2107 |       2107 |                         email.header
import time:       802 |       2908 |                       email._policybase
import time:       829 |       3737 |                     email.feedparser
import time:       667 |       4404 |                   email.parser
import time:       746 |        746 |                     email._encoded_words
import time:       695 |        695 |                     email.iterators
import time:       885 |       2324 |                   email.message
import time:      1203 |       7930 |                 http.client
import time:        77 |         77 |                   _winapi
import time:        59 |         59 |                   winreg
import time:      1014 |       1150 |                 mimetypes
import time:      5319 |       5319 |                 socketserver
import time:      6802 |      47153 |               http.server
import time:      8175 |      55327 |             jax._src.profiler
import time:      8621 |      63948 |           jax._src.interpreters.partial_eval
import time:      4951 |       4951 |           jaxlib.mlir.dialects._func_ops_gen
import time:     21545 |      21545 |             numpy.ma.core
import time:      6102 |       6102 |             numpy.ma.extras
import time:      6138 |      33785 |           numpy.ma
import time:     17267 |     692646 |         jax._src.interpreters.mlir
import time:      5938 |     703031 |       jax._src.stages
import time:      4547 |       4547 |               jax._src.cache_key
import time:       108 |        108 |                 compression
import time:      4316 |       4316 |                   zstandard.backend_c
import time:      1470 |       5786 |                 zstandard
import time:      4276 |       4276 |                 jax._src.monitoring
import time:      4369 |       4369 |                 jax._src.compilation_cache_interface
import time:      5673 |       5673 |                       filelock._error
import time:      6293 |      11965 |                     filelock._api
import time:      6037 |       6037 |                       filelock._util
import time:      6129 |      12166 |                     filelock._soft
import time:      5349 |       5349 |                     filelock._unix
import time:      4959 |       4959 |                     filelock._windows
import time:      5369 |       5369 |                     filelock.version
import time:      5553 |      45359 |                   filelock
import time:      3796 |      49154 |                 jax._src.lru_cache
import time:      3991 |      67681 |               jax._src.compilation_cache
import time:      4557 |      76784 |             jax._src.compiler
import time:      5778 |       5778 |               jax._src.interpreters.ad
import time:      6394 |       6394 |               jax._src.interpreters.batching
import time:      7132 |      19304 |             jax._src.pjit
import time:      4250 |       4250 |             jax._src.abstract_arrays
import time:     10240 |     110577 |           jax._src.interpreters.pxla
import time:     15821 |     126397 |         jax._src.array
import time:      5396 |     131792 |       jax._src.dispatch
import time:      7154 |     868473 |     jax._src.api
import time:      5248 |       5248 |             jax._src.lax.utils
import time:      5217 |      10465 |           jax._src.lax.slicing
import time:      4880 |       4880 |           jaxlib.mlir.dialects._chlo_ops_gen
import time:     12999 |      12999 |           jaxlib.mlir._mlir_libs._chlo
import time:     16240 |      44582 |         jax._src.lax.lax
import time:      6295 |       6295 |             jax._src.custom_api_util
import time:      5491 |       5491 |             jax._src.custom_transpose
import time:      5766 |      17551 |           jax._src.custom_derivatives
import time:      5934 |       5934 |           jax._src.lax.convolution
import time:      4921 |      28405 |         jax._src.lax.other
import time:      5710 |       5710 |                 jax._src.lax.windowed_reductions
import time:      3666 |       3666 |                 jax._src.lax.control_flow.common
import time:      4893 |       4893 |                   jax._src.state.primitives
import time:      4767 |       4767 |                   jax._src.state.utils
import time:      4501 |      14160 |                 jax._src.state.discharge
import time:      6176 |      29711 |               jax._src.lax.control_flow.loops
import time:      4333 |       4333 |               jax._src.lax.control_flow.conditionals
